#{"t_start": 1733438642.8664284, "env_id": "None"}
r,l,t
-360.652315,7,205.075484
-446.686475,4,205.176398
-478.891652,4,205.277129
-489.439155,6,205.461179
-337.446161,8,205.653912
-486.725932,8,205.876511
-302.294219,10,206.164611
-273.64051,6,206.312877
-298.654958,14,206.658331
-469.120703,14,206.982702
2650.268294,6,207.136672
-369.34653,6,207.333078
-492.972074,7,207.511153
-445.008655,11,207.781342
-499.184546,3,207.864891
-498.774269,2,207.932795
-496.400198,4,208.041266
-398.474873,9,208.262225
-467.874636,8,208.459806
-493.083009,6,208.65095
-213.313242,12,208.936067
-458.250799,3,209.014118
-496.8848,4,209.124635
-478.95751,4,209.239736
-500.0,1,209.266263
-459.639414,7,209.440967
-500.0,1,209.475713
-490.229293,6,209.627161
-482.698931,3,209.705404
-499.063304,3,209.792489
-452.40778,7,209.980787
-328.904115,12,210.273991
-494.842239,4,210.379712
-476.690376,3,210.466122
-473.563029,10,210.725514
-467.310709,12,211.017845
-353.465233,12,211.408839
-351.63841,14,211.848071
-493.66625,5,211.984223
-473.955233,4,212.093393
-490.33229,3,212.176222
325.054892,2,212.235071
-496.593856,5,212.422335
-471.251625,3,212.504479
-491.401076,3,212.607653
-422.100382,8,212.812168
-414.706202,5,212.950647
48.499128,11,213.313337
-500.0,1,213.340397
-468.708944,8,213.542895
-453.03846,7,213.781284
-484.435513,4,213.886703
